frame_timestamp,Frame Number,X,Y,Z,velocity,snr,target_id
22:21:21:133,55,-0.3852865,0.24738958,0.6826688,-0.48720002,8.0,1
22:21:21:133,55,-0.38005462,0.31418192,0.7351978,0.34804,9.0,1
22:21:21:133,55,-0.43642706,0.16967395,0.96738297,0.34804,10.12,1
22:21:21:133,55,-1.1211945,1.8287145,2.8170266,-0.34804,5.64,254
22:21:21:133,55,-1.0557089,1.3325384,3.0336163,0.13916,7.12,254
22:21:21:133,55,-0.9353477,1.1566617,3.073168,0.13916,9.36,254
22:21:21:133,55,-0.19612809,0.29292274,-0.88055795,0.20888,10.0,255
22:21:21:133,55,-0.17467275,0.3438671,0.7968139,0.27832,8.76,1
22:21:21:133,55,-0.09584657,0.37536559,0.5776109,-0.48720002,10.24,1
22:21:21:133,55,-0.09176998,0.35940033,0.66189975,0.27832,27.519999,1
22:21:21:133,55,-0.086785704,0.40717235,0.6343347,0.27832,31.119999,1
22:21:21:133,55,-0.07862545,0.4088265,0.6343347,0.27832,34.0,1
22:21:21:133,55,-0.070433736,0.41031715,0.6343347,0.27832,35.36,1
22:21:21:133,55,-0.07815479,0.3494991,0.7398826,0.20888,24.119999,1
22:21:21:133,55,-0.062213853,0.41164368,0.6343347,0.27832,34.76,1
22:21:21:133,55,-0.06763622,0.35168615,0.7398826,-0.90468,25.119999,1
22:21:21:133,55,-0.05478869,0.4190746,0.6301399,-0.55664,32.36,1
22:21:21:133,55,-0.06058944,0.35296845,0.7398826,-0.90468,25.24,1
22:21:21:133,55,-0.050595272,0.41960153,0.6301399,-0.55664,29.0,1
22:21:21:133,55,-0.053518426,0.35410956,0.7398826,-0.90468,24.64,1
22:21:21:133,55,-0.042193685,0.42052945,0.6301399,-0.55664,25.119999,1
22:21:21:133,55,-0.04287265,0.35555553,0.7398826,-0.90468,23.24,1
22:21:21:133,55,-0.033775214,0.42128918,0.6301399,-0.55664,21.52,1
22:21:21:133,55,-0.03575344,0.35634184,0.7398826,-0.90468,21.359999,1
22:21:21:133,55,-0.025343241,0.42188036,0.6301399,-0.55664,18.24,1
22:21:21:133,55,-0.028619926,0.3569856,0.7398826,0.34804,19.359999,1
22:21:21:133,55,-0.07392362,0.8191547,-2.0544806,-0.62636,5.7599998,255
22:21:21:133,55,-0.016901128,0.4223028,0.6301399,-0.55664,15.639999,1
22:21:21:133,55,-0.017899089,0.35768342,0.7398826,0.34804,17.359999,1
22:21:21:133,55,-0.008452254,0.42255637,0.6301399,-0.55664,13.36,1
22:21:21:186,56,2.190362,1.1705548,3.1947272,0.97412,5.12,254
22:21:21:186,56,2.2975209,0.737977,3.1690803,-0.13916,6.7599998,254
22:21:21:186,56,-0.25143018,0.11252206,0.5690885,-0.27832,32.64,255
22:21:21:186,56,-0.2700511,0.1374474,0.62601984,-0.27832,87.36,1
22:21:21:186,56,-0.23248592,0.2350096,0.6829512,-0.83496004,131.36,1
22:21:21:186,56,-0.2253321,0.24187736,0.6829512,-0.83496004,130.36,1
22:21:21:186,56,-0.21797547,0.2485275,0.6829512,0.34804,125.24,1
22:21:21:186,56,-0.2104227,0.25495392,0.6829512,0.34804,116.52,1
22:21:21:186,56,-0.1857849,0.2393812,0.62601984,-0.27832,56.12,1
22:21:21:186,56,-0.20268051,0.26115096,0.6829512,0.34804,105.119995,1
22:21:21:186,56,-0.21957612,0.28292072,0.7398826,0.34804,38.12,1
22:21:21:186,56,-0.17852096,0.24484618,0.62601984,0.48720002,51.76,1
22:21:21:186,56,-0.19475599,0.26711294,0.6829512,0.34804,92.36,1
22:21:21:186,56,-0.17109634,0.25009084,0.62601984,0.48720002,47.12,1
22:21:21:186,56,-0.18665615,0.27283454,0.6829512,0.34804,79.52,1
22:21:21:186,56,-0.16351776,0.2551104,0.62601984,0.48720002,42.36,1
22:21:21:186,56,-0.17838836,0.27831063,0.6829512,0.34804,67.52,1
22:21:21:186,56,-0.20748293,0.37979496,0.7722527,0.6958,10.24,1
22:21:21:186,56,-0.12745601,0.21262883,0.51215714,-0.27832,5.7599998,1
22:21:21:186,56,-0.15579201,0.25990042,0.62601984,0.27832,37.64,1
22:21:21:186,56,-0.17278685,0.2818225,0.6829512,0.34804,56.76,1
22:21:21:186,56,-0.1505632,0.2629641,0.62601984,0.27832,33.12,1
22:21:21:186,56,-0.16425568,0.28687853,0.6829512,0.34804,48.239998,1
22:21:21:186,56,-0.1426077,0.26736197,0.62601984,0.34804,28.88,1
22:21:21:186,56,-0.1555767,0.29167637,0.6829512,0.34804,41.36,1
22:21:21:186,56,-0.19330099,0.4214831,0.8274292,0.48720002,5.0,1
22:21:21:186,56,-0.13452388,0.27151927,0.62601984,0.34804,25.0,1
22:21:21:186,56,-0.1117715,0.28817248,0.55154675,0.20888,25.0,1
22:21:21:186,56,-0.10307732,0.2913955,0.55154675,0.20888,24.64,1
22:21:21:186,56,-0.09722918,0.29339862,0.55154675,0.48720002,23.76,1
22:21:21:186,56,-0.09134215,0.2952844,0.55154675,0.41748002,22.519999,1
22:21:21:186,56,-0.085418604,0.29705206,0.55154675,0.41748002,20.88,1
